43	|	10952739.85	|	776158.76	|	44740.15	|	1095273.98	|	38807.94	|	12907720.68	|	0.04	|	0.96	|	0.10	|	
44	|	12048013.83	|	814966.69	|	4591.09	|	1204801.38	|	40748.33	|	14113121.34	|	0.00	|	1.00	|	0.10	|	
45	|	13252815.22	|	855715.03	|	0.00	|	1325281.52	|	492.81	|	15434304.57	|	0.00	|	1.00	|	0.09	|	
46	|	14578096.74	|	856207.84	|	0.00	|	1339803.22	|	0.00	|	16774107.80	|	0.00	|	1.00	|	0.09	|	
47	|	15917899.96	|	856207.84	|	0.00	|	1353201.25	|	0.00	|	18127309.05	|	0.00	|	1.00	|	0.08	|	
48	|	17271101.21	|	856207.84	|	0.00	|	1366733.27	|	0.00	|	19494042.32	|	0.00	|	1.00	|	0.08	|	
49	|	18637834.48	|	856207.84	|	0.00	|	1380400.60	|	0.00	|	20874442.92	|	0.00	|	1.00	|	0.07	|	
50	|	20018235.08	|	856207.84	|	0.00	|	1394204.61	|	0.00	|	22268647.52	|	0.00	|	1.00	|	0.07	|	
51	|	21412439.69	|	856207.84	|	0.00	|	1408146.65	|	0.00	|	23676794.18	|	0.00	|	1.00	|	0.06	|	
52	|	22820586.34	|	856207.84	|	0.00	|	1422228.12	|	0.00	|	25099022.29	|	0.00	|	1.00	|	0.06	|	
53	|	24242814.46	|	856207.84	|	0.00	|	1436450.40	|	0.00	|	26535472.69	|	0.00	|	1.00	|	0.06	|	
54	|	25679264.86	|	856207.84	|	0.00	|	1450814.90	|	0.00	|	27986287.60	|	0.00	|	1.00	|	0.05	|	
55	|	27130079.76	|	856207.84	|	0.00	|	1465323.05	|	0.00	|	29451610.65	|	0.00	|	1.00	|	0.05	|	
56	|	28595402.82	|	856207.84	|	0.00	|	1479976.28	|	0.00	|	30931586.94	|	0.00	|	1.00	|	0.05	|	
57	|	30075379.10	|	856207.84	|	0.00	|	1494776.05	|	0.00	|	32426362.98	|	0.00	|	1.00	|	0.05	|	
58	|	31570155.15	|	856207.84	|	0.00	|	1509723.81	|	0.00	|	33936086.79	|	0.00	|	1.00	|	0.05	|	
