Year	|	constant	|	variable	|	profit	|	add_cc	|	add_vc	|	val_of_year_prod	|	por	|	poa	|	rop	|	occ	|	total profit	|	
34		|	37328010.99	|	21866669.85	|	9511674.46	|	8203725.40	|	4151269.98	|	81061350.69	|	0.43	|	0.57	|	0.37	|	1.71	|	33155540.79	|	
35		|	45531736.40	|	26017939.83	|	11607072.36	|	9844470.49	|	4566396.98	|	97567616.06	|	0.45	|	0.55	|	0.36	|	1.75	|	44762613.16	|	
36		|	55376206.89	|	30584336.82	|	13747935.55	|	11813364.58	|	5023036.68	|	116544880.52	|	0.45	|	0.55	|	0.36	|	1.81	|	58510548.71	|	
37		|	67189571.47	|	35607373.50	|	15905995.65	|	14176037.50	|	5525340.35	|	138404318.46	|	0.45	|	0.55	|	0.35	|	1.89	|	74416544.36	|	
38		|	81365608.97	|	41132713.85	|	18043594.46	|	17011245.00	|	6077874.38	|	163631036.66	|	0.44	|	0.56	|	0.34	|	1.98	|	92460138.82	|	
39		|	98376853.97	|	47210588.23	|	20111432.41	|	20413494.00	|	6685661.82	|	192798030.43	|	0.43	|	0.57	|	0.32	|	2.08	|	112571571.23	|	
40		|	118790347.97	|	53896250.05	|	22045829.25	|	24496192.80	|	7354228.01	|	226582848.08	|	0.41	|	0.59	|	0.31	|	2.20	|	134617400.48	|	
41		|	143286540.77	|	61250478.06	|	23765395.89	|	29395431.36	|	8089650.81	|	265787496.89	|	0.39	|	0.61	|	0.30	|	2.34	|	158382796.37	|	
42		|	172681972.13	|	69340128.87	|	25166995.35	|	35274517.63	|	8898615.89	|	311362229.86	|	0.36	|	0.64	|	0.29	|	2.49	|	183549791.72	|	
43		|	207956489.76	|	78238744.75	|	26120846.12	|	42329421.16	|	9788477.48	|	364433979.26	|	0.33	|	0.67	|	0.27	|	2.66	|	209670637.84	|	
44		|	250285910.91	|	88027222.23	|	26464591.62	|	50795305.39	|	10767325.22	|	426340355.37	|	0.30	|	0.70	|	0.26	|	2.84	|	236135229.46	|	
45		|	301081216.30	|	98794547.45	|	25996123.24	|	60954366.47	|	11844057.74	|	498670311.20	|	0.26	|	0.74	|	0.25	|	3.05	|	262131352.69	|	
46		|	362035582.77	|	110638605.19	|	24464901.92	|	73145239.76	|	13028463.52	|	583312793.16	|	0.22	|	0.78	|	0.23	|	3.27	|	286596254.61	|	
47		|	435180822.53	|	123667068.71	|	21561471.13	|	87774287.71	|	14331309.87	|	682514959.96	|	0.17	|	0.83	|	0.22	|	3.52	|	308157725.74	|	
48		|	522955110.24	|	137998378.59	|	16904792.47	|	105329145.25	|	15764440.86	|	798951867.41	|	0.12	|	0.88	|	0.21	|	3.79	|	325062518.21	|	
49		|	628284255.50	|	153762819.44	|	10026960.19	|	126394974.31	|	17340884.94	|	935809894.38	|	0.07	|	0.93	|	0.20	|	4.09	|	335089478.41	|	
50		|	754679229.80	|	171103704.39	|	354761.78	|	151673969.17	|	19074973.44	|	1096886638.58	|	0.00	|	1.00	|	0.18	|	4.41	|	335444240.19	|	
51		|	815717879.07	|	180669743.94	|	0.00	|	182008763.00	|	20982470.78	|	1186566300.83	|	0.00	|	1.07	|	0.19	|	4.77	|	335799001.97	|	
52		|	897953977.87	|	191569603.98	|	0.00	|	218410515.60	|	23080717.86	|	1291175796.56	|	0.00	|	1.20	|	0.19	|	4.95	|	335799001.97	|	
53		|	1004728044.12	|	203917805.75	|	0.00	|	262092618.72	|	25388789.65	|	1423296171.71	|	0.00	|	1.34	|	0.18	|	5.20	|	335799001.97	|	
54		|	1140138596.56	|	217841265.63	|	0.00	|	314511142.46	|	294196288.93	|	1587286457.58	|	0.00	|	2.65	|	0.17	|	5.52	|	335799001.97	|	
55		|	1309184765.12	|	486435676.83	|	0.00	|	377413370.96	|	323615917.82	|	2307657996.51	|	0.00	|	1.37	|	0.29	|	2.84	|	335799001.97	|	
56		|	1686598136.07	|	810051594.66	|	1178039.90	|	452896045.15	|	355977509.61	|	3306701325.38	|	0.00	|	1.00	|	0.32	|	2.08	|	336977041.87	|	
57		|	2139494181.22	|	1166029104.26	|	230978589.52	|	543475254.18	|	391575260.57	|	4471552389.75	|	0.20	|	0.80	|	0.35	|	1.83	|	567955631.39	|	
58		|	2682969435.40	|	1557604364.83	|	474701273.19	|	652170305.01	|	430732786.62	|	5798178165.06	|	0.30	|	0.70	|	0.37	|	1.72	|	1042656904.58	|	
59		|	3335139740.41	|	1988337151.45	|	731926720.15	|	782604366.02	|	473806065.29	|	7311814043.32	|	0.37	|	0.63	|	0.37	|	1.68	|	1774583624.73	|	
60		|	4117744106.43	|	2462143216.74	|	1001831305.71	|	939125239.22	|	521186671.82	|	9042030539.91	|	0.41	|	0.59	|	0.37	|	1.67	|	2776414930.44	|	
61		|	5056869345.65	|	2983329888.56	|	1283074262.50	|	1126950287.06	|	573305339.00	|	11023529122.76	|	0.43	|	0.57	|	0.37	|	1.70	|	4059489192.93	|	
62		|	6183819632.71	|	3556635227.55	|	1573659010.18	|	1352340344.48	|	630635872.90	|	13297090087.82	|	0.44	|	0.56	|	0.37	|	1.74	|	5633148203.11	|	
63		|	7536159977.19	|	4187271100.45	|	1870763226.89	|	1622808413.37	|	693699460.19	|	15910702178.09	|	0.45	|	0.55	|	0.36	|	1.80	|	7503911430.01	|	
64		|	9158968390.56	|	4880970560.64	|	2170531058.39	|	1947370096.05	|	763069406.21	|	18920909511.83	|	0.44	|	0.56	|	0.35	|	1.88	|	9674442488.39	|	
65		|	11106338486.61	|	5644039966.84	|	2467819504.76	|	2336844115.25	|	839376346.83	|	22394418420.29	|	0.44	|	0.56	|	0.34	|	1.97	|	12142261993.16	|	
66		|	13443182601.86	|	6483416313.67	|	2755889393.85	|	2804212938.31	|	923313981.51	|	26410015229.20	|	0.43	|	0.57	|	0.33	|	2.07	|	14898151387.01	|	
67		|	16247395540.17	|	7406730295.18	|	3026029389.55	|	3365055525.97	|	1015645379.66	|	31060856130.52	|	0.41	|	0.59	|	0.31	|	2.19	|	17924180776.56	|	
68		|	19612451066.13	|	8422375674.84	|	3267099126.05	|	4038066631.16	|	1117209917.63	|	36457202415.80	|	0.39	|	0.61	|	0.30	|	2.33	|	21191279902.61	|	
69		|	23650517697.29	|	9539585592.46	|	3464974725.68	|	4845679957.39	|	1228930909.39	|	42729688882.21	|	0.36	|	0.64	|	0.29	|	2.48	|	24656254628.29	|	
70		|	28496197654.68	|	10768516501.85	|	3601876552.65	|	5814815948.87	|	1351824000.33	|	50033230658.38	|	0.33	|	0.67	|	0.27	|	2.65	|	28258131180.95	|	
71		|	34311013603.55	|	12120340502.17	|	3655554963.17	|	6977779138.64	|	1487006400.36	|	58551694607.90	|	0.30	|	0.70	|	0.26	|	2.83	|	31913686144.12	|	
72		|	41288792742.20	|	13607346902.53	|	3598304895.77	|	8373334966.37	|	1635707040.39	|	68503486547.26	|	0.26	|	0.74	|	0.25	|	3.03	|	35511991039.88	|	
73		|	49662127708.57	|	15243053942.93	|	3395774238.85	|	10048001959.65	|	1799277744.43	|	80148235594.43	|	0.22	|	0.78	|	0.23	|	3.26	|	38907765278.73	|	
74		|	59710129668.22	|	17042331687.36	|	3005523816.91	|	12057602351.58	|	1979205518.88	|	93794793042.94	|	0.18	|	0.82	|	0.22	|	3.50	|	41913289095.64	|	
75		|	71767732019.80	|	19021537206.24	|	2375288313.58	|	14469122821.89	|	2177126070.77	|	109810806432.28	|	0.12	|	0.88	|	0.21	|	3.77	|	44288577409.22	|	
76		|	86236854841.69	|	21198663277.01	|	1440877212.89	|	17362947386.27	|	2394838677.84	|	128634181395.70	|	0.07	|	0.93	|	0.20	|	4.07	|	45729454622.11	|	
77		|	103599802227.96	|	23593501954.85	|	123642545.70	|	20835536863.53	|	2634322545.63	|	150786806137.65	|	0.01	|	0.99	|	0.19	|	4.39	|	45853097167.81	|	
78		|	111991805182.34	|	24916433275.45	|	0.00	|	25002644236.23	|	2897754800.19	|	163136062958.26	|	0.00	|	1.06	|	0.19	|	4.74	|	45976739713.50	|	
79		|	123295004476.71	|	26423478671.86	|	0.00	|	30003173083.48	|	3187530280.21	|	177532671224.21	|	0.00	|	1.19	|	0.19	|	4.93	|	45976739713.50	|	
80		|	137968359804.17	|	28130458504.46	|	0.00	|	36003807700.17	|	3506283308.23	|	195709827260.69	|	0.00	|	1.33	|	0.18	|	5.18	|	45976739713.50	|	
81		|	156574950753.91	|	30054904722.06	|	0.00	|	43204569240.21	|	40404350736.64	|	218266597288.65	|	0.00	|	2.64	|	0.17	|	5.50	|	45976739713.50	|	
82		|	179801567994.70	|	66936292685.76	|	0.00	|	51845483088.25	|	44444785810.31	|	317197116139.16	|	0.00	|	1.37	|	0.29	|	2.84	|	45976739713.50	|	
83		|	231647051082.95	|	111381078496.07	|	277234398.83	|	62214579705.90	|	48889264391.34	|	454409208075.08	|	0.00	|	1.00	|	0.32	|	2.08	|	46253974112.34	|	
84		|	293861630788.84	|	160270342887.40	|	31834656409.86	|	74657495647.08	|	53778190830.47	|	614402316563.65	|	0.20	|	0.80	|	0.35	|	1.83	|	78088630522.20	|	
85		|	368519126435.92	|	214048533717.88	|	65303529027.87	|	89588994776.49	|	59156009913.52	|	796616193871.67	|	0.31	|	0.69	|	0.37	|	1.72	|	143392159550.06	|	
86		|	458108121212.41	|	273204543631.39	|	100626138994.73	|	107506793731.79	|	65071610904.87	|	1004517208475.20	|	0.37	|	0.63	|	0.37	|	1.68	|	244018298544.80	|	
87		|	565614914944.20	|	338276154536.26	|	137689230062.76	|	129008152478.15	|	71578771995.36	|	1242167224016.72	|	0.41	|	0.59	|	0.37	|	1.67	|	381707528607.55	|	
88		|	694623067422.35	|	409854926531.62	|	176308494362.95	|	154809782973.78	|	78736649194.89	|	1514332920485.58	|	0.43	|	0.57	|	0.37	|	1.69	|	558016022970.50	|	
89		|	849432850396.13	|	488591575726.51	|	216209522043.60	|	185771739568.53	|	86610314114.38	|	1826616001849.14	|	0.44	|	0.56	|	0.37	|	1.74	|	774225545014.10	|	
90		|	1035204589964.66	|	575201889840.89	|	257004456832.83	|	222926087482.24	|	95271345525.82	|	2185608369646.44	|	0.45	|	0.55	|	0.36	|	1.80	|	1031230001846.93	|	
91		|	1258130677446.90	|	670473235366.71	|	298163450309.62	|	267511304978.69	|	104798480078.40	|	2599077148180.31	|	0.44	|	0.56	|	0.35	|	1.88	|	1329393452156.55	|	
92		|	1525641982425.58	|	775271715445.11	|	338979821384.44	|	321013565974.42	|	115278328086.24	|	3076185413315.80	|	0.44	|	0.56	|	0.34	|	1.97	|	1668373273541.00	|	
93		|	1846655548400.01	|	890550043531.35	|	378527603467.18	|	385216279169.31	|	126806160894.86	|	3627755635462.70	|	0.43	|	0.57	|	0.33	|	2.07	|	2046900877008.17	|	
94		|	2231871827569.31	|	1017356204426.21	|	415609892438.69	|	462259535003.17	|	139486776984.35	|	4266584236421.74	|	0.41	|	0.59	|	0.31	|	2.19	|	2462510769446.86	|	
95		|	2694131362572.48	|	1156842981410.57	|	448696084723.97	|	554711442003.80	|	153435454682.79	|	5007817325393.62	|	0.39	|	0.61	|	0.30	|	2.33	|	2911206854170.84	|	
96		|	3248842804576.29	|	1310278436093.35	|	475845705537.72	|	665653730404.56	|	168779000151.06	|	5869399676762.99	|	0.36	|	0.64	|	0.29	|	2.48	|	3387052559708.56	|	
97		|	3914496534980.85	|	1479057436244.42	|	494616059592.77	|	798784476485.48	|	185656900166.17	|	6872611407469.69	|	0.33	|	0.67	|	0.27	|	2.65	|	3881668619301.33	|	
98		|	4713281011466.33	|	1664714336410.59	|	501950374445.23	|	958541371782.57	|	204222590182.79	|	8042709684287.51	|	0.30	|	0.70	|	0.26	|	2.83	|	4383618993746.56	|	
99		|	5671822383248.90	|	1868936926593.38	|	494042431253.22	|	1150249646139.09	|	224644849201.07	|	9409696236435.66	|	0.26	|	0.74	|	0.25	|	3.03	|	4877661424999.78	|	
100		|	6822072029387.99	|	2093581775794.44	|	466172866306.36	|	1380299575366.91	|	247109334121.17	|	11009235580976.88	|	0.22	|	0.78	|	0.23	|	3.26	|	5343834291306.14	|	
101		|	8202371604754.90	|	2340691109915.62	|	412511351942.04	|	1656359490440.29	|	271820267533.29	|	12883753824586.13	|	0.18	|	0.82	|	0.22	|	3.50	|	5756345643248.18	|	
102		|	9858731095195.18	|	2612511377448.91	|	325877694633.95	|	1987631388528.34	|	299002294286.62	|	15083753850093.00	|	0.12	|	0.88	|	0.21	|	3.77	|	6082223337882.13	|	
103		|	11846362483723.53	|	2911513671735.53	|	197453481786.24	|	2385157666234.01	|	328902523715.28	|	17669389827194.59	|	0.07	|	0.93	|	0.20	|	4.07	|	6279676819668.36	|	
104		|	14231520149957.54	|	3240416195450.81	|	16434219883.19	|	2862189199480.81	|	361792776086.81	|	20712352540859.16	|	0.01	|	0.99	|	0.19	|	4.39	|	6296111039551.55	|	
105		|	15384338414494.52	|	3422098522960.74	|	0.00	|	3434627039376.98	|	397972053695.49	|	22408645908992.89	|	0.00	|	1.06	|	0.19	|	4.75	|	6312545259434.74	|	
106		|	16937068908484.34	|	3629067047823.43	|	0.00	|	4121552447252.37	|	437769259065.04	|	24386206532964.01	|	0.00	|	1.19	|	0.19	|	4.93	|	6312545259434.74	|	
107		|	18952759220163.04	|	3863494491544.04	|	0.00	|	4945862936702.85	|	481546184971.55	|	26883090018595.55	|	0.00	|	1.33	|	0.18	|	5.18	|	6312545259434.74	|	
108		|	21508759941179.30	|	4127788642689.81	|	0.00	|	5935035524043.42	|	5550428796399.43	|	29981589260384.70	|	0.00	|	2.64	|	0.17	|	5.50	|	6312545259434.74	|	
109		|	24699415918700.45	|	9194306567134.78	|	0.00	|	7122042628852.10	|	6105471676039.38	|	43571939924924.47	|	0.00	|	1.37	|	0.29	|	2.84	|	6312545259434.74	|	
110		|	31821458547552.54	|	15299778243174.16	|	37308244908.33	|	8546451154622.52	|	6716018843643.32	|	62421015033900.86	|	0.00	|	1.00	|	0.32	|	2.08	|	6349853504343.07	|	
111		|	40367909702175.06	|	22015797086817.48	|	4372434973262.81	|	10255741385547.02	|	7387620728007.65	|	84399503875810.02	|	0.20	|	0.80	|	0.35	|	1.83	|	10722288477605.88	|	
112		|	50623651087722.08	|	29403417814825.12	|	8970145351360.29	|	12306889662656.42	|	8126382800808.41	|	109430486717372.33	|	0.31	|	0.69	|	0.37	|	1.72	|	19692433828966.17	|	
113		|	62930540750378.50	|	37529800615633.54	|	13822511939556.57	|	14768267595187.71	|	8939021080889.26	|	137990141981645.56	|	0.37	|	0.63	|	0.37	|	1.68	|	33514945768522.74	|	
114		|	77698808345566.20	|	46468821696522.80	|	18913977393319.37	|	17721921114225.25	|	9832923188978.18	|	170636451738611.81	|	0.41	|	0.59	|	0.37	|	1.67	|	52428923161842.11	|	
115		|	95420729459791.45	|	56301744885500.98	|	24219224040554.68	|	21266305337070.30	|	10816215507876.00	|	208024219230793.41	|	0.43	|	0.57	|	0.37	|	1.69	|	76648147202396.78	|	
116		|	116687034796861.75	|	67117960393376.98	|	29700556930229.02	|	25519566404484.36	|	11897837058663.60	|	250922955583615.69	|	0.44	|	0.56	|	0.37	|	1.74	|	106348704132625.80	|	
117		|	142206601201346.12	|	79015797452040.58	|	35304697002129.38	|	30623479685381.23	|	13087620764529.96	|	300238196105427.25	|	0.45	|	0.55	|	0.36	|	1.80	|	141653401134755.19	|	
118		|	172830080886727.34	|	92103418216570.55	|	40958859753130.11	|	36748175622457.48	|	14396382840982.96	|	357036917319868.44	|	0.44	|	0.56	|	0.35	|	1.88	|	182612260887885.31	|	
119		|	209578256509184.81	|	106499801057553.50	|	46565969185523.27	|	44097810746948.97	|	15836021125081.26	|	422577858624291.81	|	0.44	|	0.56	|	0.34	|	1.97	|	229178230073408.59	|	
120		|	253676067256133.78	|	122335822182634.75	|	51998826048706.61	|	52917372896338.76	|	17419623237589.38	|	498347711621403.25	|	0.43	|	0.57	|	0.33	|	2.07	|	281177056122115.19	|	
121		|	306593440152472.56	|	139755445420224.14	|	57093012383269.31	|	63500847475606.51	|	19161585561348.32	|	586104330992920.88	|	0.41	|	0.59	|	0.31	|	2.19	|	338270068505384.50	|	
122		|	370094287628079.06	|	158917030981572.47	|	61638269893361.50	|	76201016970727.81	|	21077744117483.16	|	687928349591224.00	|	0.39	|	0.61	|	0.30	|	2.33	|	399908338398746.00	|	
123		|	446295304598806.88	|	179994775099055.62	|	65368036204950.78	|	91441220364873.38	|	23185518529231.48	|	806284854796918.12	|	0.36	|	0.64	|	0.29	|	2.48	|	465276374603696.75	|	
124		|	537736524963680.25	|	203180293628287.09	|	67946758808284.42	|	109729464437848.05	|	25504070382154.62	|	944097112220254.50	|	0.33	|	0.67	|	0.27	|	2.65	|	533223133411981.19	|	
125		|	647465989401528.25	|	228684364010441.72	|	68954529264653.97	|	131675357325417.66	|	28054477420370.09	|	1104834717422411.75	|	0.30	|	0.70	|	0.26	|	2.83	|	602177662676635.12	|	
126		|	779141346726945.88	|	256738841430811.81	|	67868487477903.53	|	158010428790501.19	|	30859925162407.10	|	1292619029588569.50	|	0.26	|	0.74	|	0.25	|	3.03	|	670046150154538.62	|	
127		|	937151775517447.00	|	287598766593218.94	|	64040334365969.72	|	189612514548601.41	|	33945917678647.82	|	1512349308703885.00	|	0.22	|	0.78	|	0.23	|	3.26	|	734086484520508.38	|	
128		|	1126764290066048.50	|	321544684271866.75	|	56669157367032.47	|	227535017458321.69	|	37340509446512.60	|	1769853658609782.00	|	0.18	|	0.82	|	0.22	|	3.50	|	790755641887540.88	|	
129		|	1354299307524370.25	|	358885193718379.38	|	44768612377229.50	|	273042020949986.00	|	41074560391163.87	|	2072069694961129.00	|	0.12	|	0.88	|	0.21	|	3.77	|	835524254264770.38	|	
130		|	1627341328474356.25	|	399959754109543.25	|	27127312539279.81	|	327650425139983.19	|	45182016430280.26	|	2427260836693443.00	|	0.07	|	0.93	|	0.20	|	4.07	|	862651566804050.25	|	
131		|	1954991753614339.50	|	445141770539823.50	|	2261042298535.38	|	393180510167979.81	|	49700218073308.29	|	2845275294693986.50	|	0.01	|	0.99	|	0.19	|	4.39	|	864912609102585.62	|	
132		|	2113355037404087.50	|	470099889182475.19	|	0.00	|	471816612201575.75	|	54670239880639.12	|	3078296915199694.50	|	0.00	|	1.06	|	0.19	|	4.75	|	867173651401121.00	|	
133		|	2326654484645097.00	|	498531622609958.56	|	0.00	|	566179934641890.88	|	60137263868703.04	|	3349956236318170.00	|	0.00	|	1.19	|	0.19	|	4.93	|	867173651401121.00	|	
134		|	2603550977358289.50	|	530735442154728.50	|	0.00	|	679415921570269.00	|	66150990255573.35	|	3692955305991679.50	|	0.00	|	1.33	|	0.18	|	5.18	|	867173651401121.00	|	
135		|	2954670209035702.50	|	567042110789786.75	|	0.00	|	815299105884322.75	|	762465079608773.62	|	4118598752235791.00	|	0.00	|	2.64	|	0.17	|	5.50	|	867173651401121.00	|	
136		|	3392972383428022.50	|	1263031830878632.50	|	0.00	|	978358927061187.25	|	838711587569651.00	|	5985511404705216.00	|	0.00	|	1.37	|	0.29	|	2.84	|	867173651401121.00	|	
137		|	4371331310489210.00	|	2101743418448283.50	|	5129959648242.50	|	1174030712473424.75	|	922582746326616.12	|	8574818147385778.00	|	0.00	|	1.00	|	0.32	|	2.08	|	872303611049363.50	|	
138		|	5545362022962635.00	|	3024326164774899.50	|	600648288847512.00	|	1408836854968109.75	|	1014841020959277.88	|	11594014352512434.00	|	0.20	|	0.80	|	0.35	|	1.83	|	1472951899896875.50	|	
139		|	6954198877930745.00	|	4039167185734177.50	|	1232237836717240.00	|	1690604225961731.75	|	1116325123055205.75	|	15032533249399100.00	|	0.31	|	0.69	|	0.37	|	1.72	|	2705189736614115.50	|	
140		|	8644803103892477.00	|	5155492308789383.00	|	1898809602274578.50	|	2028725071154078.00	|	1227957635360726.50	|	18955787721471244.00	|	0.37	|	0.63	|	0.37	|	1.68	|	4603999338888694.00	|	
141		|	10673528175046556.00	|	6383449944150110.00	|	2598226459868417.00	|	2434470085384893.50	|	1350753398896799.25	|	23440428063346776.00	|	0.41	|	0.59	|	0.37	|	1.67	|	7202225798757111.00	|	
142		|	13107998260431450.00	|	7734203343046909.00	|	3327010501798558.00	|	2921364102461872.00	|	1485828738786479.25	|	28576404946525268.00	|	0.43	|	0.57	|	0.37	|	1.69	|	10529236300555668.00	|	
143		|	16029362362893322.00	|	9220032081833388.00	|	4079983546214014.00	|	3505636922954246.50	|	1634411612665127.25	|	34469426526560100.00	|	0.44	|	0.56	|	0.37	|	1.74	|	14609219846769682.00	|	
144		|	19534999285847568.00	|	10854443694498516.00	|	4849826613021780.00	|	4206764307545095.50	|	1797852773931640.00	|	41243886674844600.00	|	0.45	|	0.55	|	0.36	|	1.80	|	19459046459791464.00	|	
145		|	23741763593392664.00	|	12652296468430156.00	|	5626541248051238.00	|	5048117169054114.00	|	1977638051324804.25	|	49046356530252976.00	|	0.44	|	0.56	|	0.35	|	1.88	|	25085587707842704.00	|	
146		|	28789880762446776.00	|	14629934519754960.00	|	6396792060432738.00	|	6057740602864937.00	|	2175401856457284.75	|	58049749801956696.00	|	0.44	|	0.56	|	0.34	|	1.97	|	31482379768275440.00	|	
147		|	34847621365311712.00	|	16805336376212244.00	|	7143105610671306.00	|	7269288723437924.00	|	2392942042103013.50	|	68458294117736192.00	|	0.43	|	0.57	|	0.33	|	2.07	|	38625485378946744.00	|	
148		|	42116910088749632.00	|	19198278418315256.00	|	7842895703876432.00	|	8723146468125508.00	|	2632236246313315.00	|	80513466925380144.00	|	0.41	|	0.59	|	0.31	|	2.19	|	46468381082823176.00	|	
149		|	50840056556875136.00	|	21830514664628572.00	|	8467279031933316.00	|	10467775761750610.00	|	2895459870944646.50	|	94501085886132288.00	|	0.39	|	0.61	|	0.30	|	2.33	|	54935660114756496.00	|	
150		|	61307832318625744.00	|	24725974535573220.00	|	8979637763433376.00	|	12561330914100732.00	|	3185005858039111.50	|	110759781389772176.00	|	0.36	|	0.64	|	0.29	|	2.48	|	63915297878189872.00	|	
151		|	73869163232726480.00	|	27910980393612332.00	|	9333876852848432.00	|	15073597096920878.00	|	3503506443843023.00	|	129691124019951152.00	|	0.33	|	0.67	|	0.27	|	2.65	|	73249174731038304.00	|	
