Year	|	constant	|	variable	|	profit	|	add_cc	|	add_vc	|	val_of_year_prod	|	por	|	poa	|	rop	|	occ	|	total profit	|	
152		|	88942760329647360.00	|	31414486837455356.00	|	9472313232922980.00	|	18088316516305052.00	|	3853857088227325.50	|	151771734004558080.00	|	0.30	|	0.70	|	0.26	|	2.83	|	82721487963961280.00	|	
153		|	107031076845952416.00	|	35268343925682680.00	|	9323121309066560.00	|	21705979819566060.00	|	4239242797050058.50	|	177567764697317792.00	|	0.26	|	0.74	|	0.25	|	3.03	|	92044609273027840.00	|	
154		|	128737056665518480.00	|	39507586722732736.00	|	8797243862498400.00	|	26047175783479272.00	|	4663167076755065.00	|	207752230110983936.00	|	0.22	|	0.78	|	0.23	|	3.26	|	100841853135526240.00	|	
155		|	154784232448997760.00	|	44170753799487800.00	|	7784659074882104.00	|	31256610940175124.00	|	5129483784430572.00	|	243125740047973376.00	|	0.18	|	0.82	|	0.22	|	3.50	|	108626512210408352.00	|	
156		|	186040843389172896.00	|	49300237583918368.00	|	6149872292834592.00	|	37507933128210144.00	|	5642432162873630.00	|	284641318557009632.00	|	0.12	|	0.88	|	0.21	|	3.77	|	114776384503242944.00	|	
157		|	223548776517383040.00	|	54942669746792000.00	|	3726474613778840.00	|	45009519753852168.00	|	6206675379160994.00	|	333434116010967040.00	|	0.07	|	0.93	|	0.20	|	4.07	|	118502859117021792.00	|	
158		|	268558296271235200.00	|	61149345125952992.00	|	310578504253296.00	|	54011423704622600.00	|	6827342917077094.00	|	390856986523141248.00	|	0.01	|	0.99	|	0.19	|	4.39	|	118813437621275088.00	|	
159		|	290312747978272000.00	|	64577853640878584.00	|	0.00	|	64813708445547120.00	|	7510077208784804.00	|	422867289662180672.00	|	0.00	|	1.06	|	0.19	|	4.75	|	119124016125528384.00	|	
160		|	319613810781437248.00	|	68483534307180216.00	|	0.00	|	77776450134656544.00	|	8261084929663285.00	|	460185275938280832.00	|	0.00	|	1.19	|	0.19	|	4.93	|	119124016125528384.00	|	
161		|	357651234824484480.00	|	72907388275001328.00	|	0.00	|	93331740161587856.00	|	9087193422629614.00	|	507303242336329344.00	|	0.00	|	1.33	|	0.18	|	5.18	|	119124016125528384.00	|	
162		|	405884677487465088.00	|	77894852612749392.00	|	0.00	|	111998088193905424.00	|	104740251315553296.00	|	565774111797845376.00	|	0.00	|	2.64	|	0.17	|	5.50	|	119124016125528384.00	|	
163		|	466094489113233472.00	|	173503348731887552.00	|	0.00	|	134397705832686496.00	|	115214276447108640.00	|	822232941773423744.00	|	0.00	|	1.37	|	0.29	|	2.84	|	119124016125528384.00	|	
164		|	600492194945920000.00	|	288717625178996224.00	|	704674087952928.00	|	161277246999223776.00	|	126735704091819520.00	|	1177927445303912448.00	|	0.00	|	1.00	|	0.32	|	2.08	|	119828690213481312.00	|	
165		|	761769441945143808.00	|	415453329270815744.00	|	82511358370745728.00	|	193532696399068512.00	|	139409274501001488.00	|	1592676100486775296.00	|	0.20	|	0.80	|	0.35	|	1.83	|	202340048584227040.00	|	
166		|	955302138344212352.00	|	554862603771817216.00	|	169273166141833344.00	|	232239235678882208.00	|	153350201951101664.00	|	2065027345887846656.00	|	0.31	|	0.69	|	0.37	|	1.72	|	371613214726060416.00	|	
167		|	1187541374023094528.00	|	708212805722918912.00	|	260840500762048448.00	|	278687082814658624.00	|	168685222146211840.00	|	2603966985468932096.00	|	0.37	|	0.63	|	0.37	|	1.68	|	632453715488108800.00	|	
168		|	1466228456837753088.00	|	876898027869130752.00	|	356919784130707392.00	|	334424499377590336.00	|	185553744360833024.00	|	3220024512576014336.00	|	0.41	|	0.59	|	0.37	|	1.67	|	989373499618816256.00	|	
169		|	1800652956215343360.00	|	1062451772229963776.00	|	457033254179939072.00	|	401309399253108416.00	|	204109118796916352.00	|	3925556500675270656.00	|	0.43	|	0.57	|	0.37	|	1.69	|	1446406753798755328.00	|	
170		|	2201962355468451840.00	|	1266560891026880000.00	|	560469581246541824.00	|	481571279103730112.00	|	224520030676608000.00	|	4735084137522211840.00	|	0.44	|	0.56	|	0.37	|	1.74	|	2006876335045297152.00	|	
171		|	2683533634572182016.00	|	1491080921703488000.00	|	666223353034743040.00	|	577885534924476160.00	|	246972033744268832.00	|	5665695477979158528.00	|	0.45	|	0.55	|	0.36	|	1.80	|	2673099688080039936.00	|	
172		|	3261419169496657920.00	|	1738052955447756800.00	|	772921076419689728.00	|	693462641909371392.00	|	271669237118695744.00	|	6737525080392171520.00	|	0.44	|	0.56	|	0.35	|	1.88	|	3446020764499729408.00	|	
173		|	3954881811406029312.00	|	2009722192566452480.00	|	878730861444641536.00	|	832155170291245696.00	|	298836160830565312.00	|	7974326196538934272.00	|	0.44	|	0.56	|	0.34	|	1.97	|	4324751625944371200.00	|	
174		|	4787036981697274880.00	|	2308558353397017600.00	|	981252372133900800.00	|	998586204349494784.00	|	328719776913621888.00	|	9404153688491311104.00	|	0.43	|	0.57	|	0.33	|	2.07	|	5306003998078271488.00	|	
175		|	5785623186046769152.00	|	2637278130310639616.00	|	1077382930486261760.00	|	1198303445219393792.00	|	361591754604984128.00	|	11060179446668048384.00	|	0.41	|	0.59	|	0.31	|	2.19	|	6383386928564533248.00	|	
176		|	6983926631266162688.00	|	2998869884915623936.00	|	1163154820586868992.00	|	1437964134263272448.00	|	397750930065482560.00	|	12981666401097410560.00	|	0.39	|	0.61	|	0.30	|	2.33	|	7546541749151401984.00	|	
177		|	8421890765529435136.00	|	3396620814981106688.00	|	1233537830793148928.00	|	1725556961115926784.00	|	437526023072030848.00	|	15215132395491647488.00	|	0.36	|	0.64	|	0.29	|	2.48	|	8780079579944550400.00	|	
178		|	10147447726645362688.00	|	3834146838053137408.00	|	1282199859334791168.00	|	2070668353339112192.00	|	481278625379233984.00	|	17815741402751639552.00	|	0.33	|	0.67	|	0.27	|	2.65	|	10062279439279341568.00	|	
179		|	12218116079984474112.00	|	4315425463432371200.00	|	1301216951508279296.00	|	2484802024006934528.00	|	529406487917157440.00	|	20848967006849216512.00	|	0.30	|	0.70	|	0.26	|	2.83	|	11363496390787620864.00	|	
180		|	14702918103991408640.00	|	4844831951349528576.00	|	1280722385832333824.00	|	2981762428808321536.00	|	582347136708873216.00	|	24392582006690463744.00	|	0.26	|	0.74	|	0.25	|	3.03	|	12644218776619954176.00	|	
181		|	17684680532799729664.00	|	5427179088058401792.00	|	1208482323108655616.00	|	3578114914569985536.00	|	640581850379760640.00	|	28539038708916531200.00	|	0.22	|	0.78	|	0.23	|	3.26	|	13852701099728609280.00	|	
182		|	21262795447369715712.00	|	6067760938438162432.00	|	1069383005536443392.00	|	4293737897483982336.00	|	704640035417736704.00	|	33398317324246040576.00	|	0.18	|	0.82	|	0.22	|	3.50	|	14922084105265053696.00	|	
183		|	25556533344853696512.00	|	6772400973855899648.00	|	844811457915610112.00	|	5152485476980779008.00	|	775104038959510400.00	|	39101335292565495808.00	|	0.12	|	0.88	|	0.21	|	3.77	|	15766895563180662784.00	|	
184		|	30709018821834473472.00	|	7547505012815410176.00	|	511907997583013888.00	|	6182982572376934400.00	|	852614442855461504.00	|	45804028847465299968.00	|	0.07	|	0.93	|	0.20	|	4.07	|	16278803560763676672.00	|	
185		|	36892001394211405824.00	|	8400119455670872064.00	|	42664481677543424.00	|	7419579086852321280.00	|	937875887141007744.00	|	53692240305553145856.00	|	0.01	|	0.99	|	0.19	|	4.39	|	16321468042441220096.00	|	
186		|	39880422432957358080.00	|	8871095575671284736.00	|	0.00	|	8903494904222785536.00	|	1031663475855108608.00	|	58089513351440523264.00	|	0.00	|	1.06	|	0.19	|	4.75	|	16364132524118763520.00	|	
187		|	43905525603462127616.00	|	9407621098950074368.00	|	0.00	|	10684193885067341824.00	|	1134829823440619520.00	|	63215905753938591744.00	|	0.00	|	1.19	|	0.19	|	4.93	|	16364132524118763520.00	|	
188		|	49130747539676520448.00	|	10015328376271159296.00	|	0.00	|	12821032662080808960.00	|	1248312805784681472.00	|	69688526838338371584.00	|	0.00	|	1.33	|	0.18	|	5.18	|	16364132524118763520.00	|	
189		|	55756602181581594624.00	|	10700459122953050112.00	|	0.00	|	15385239194496970752.00	|	14388226120647180288.00	|	77720702486590488576.00	|	0.00	|	2.64	|	0.17	|	5.50	|	16364132524118763520.00	|	
190		|	64027657238470705152.00	|	23834250981420220416.00	|	0.00	|	18462287033396363264.00	|	15827048732711899136.00	|	112950593463491166208.00	|	0.00	|	1.37	|	0.29	|	2.84	|	16364132524118763520.00	|	
191		|	82489944271867068416.00	|	39661299714132115456.00	|	96801668073390080.00	|	22154744440075636736.00	|	17409753605983090688.00	|	161812543700131315712.00	|	0.00	|	1.00	|	0.32	|	2.08	|	16460934192192153600.00	|	
192		|	104644688711942701056.00	|	57071053320115208192.00	|	11334631025443045376.00	|	26585693328090763264.00	|	19150728966581399552.00	|	218786795352173117440.00	|	0.20	|	0.80	|	0.35	|	1.83	|	27795565217635196928.00	|	
193		|	131230382040033460224.00	|	76221782286696611840.00	|	23253148429748158464.00	|	31902831993708916736.00	|	21065801863239540736.00	|	283673946613426683904.00	|	0.31	|	0.69	|	0.37	|	1.72	|	51048713647383355392.00	|	
194		|	163133214033742364672.00	|	97287584149936144384.00	|	35831803707921956864.00	|	38283398392450695168.00	|	23172382049563496448.00	|	357708382333614686208.00	|	0.37	|	0.63	|	0.37	|	1.68	|	86880517355305304064.00	|	
195		|	201416612426193043456.00	|	120459966199499636736.00	|	49030267874038956032.00	|	45940078070940835840.00	|	25489620254519848960.00	|	442336544825192349696.00	|	0.41	|	0.59	|	0.37	|	1.67	|	135910785229344260096.00	|	
196		|	247356690497133871104.00	|	145949586454019489792.00	|	62782910488918654976.00	|	55128093685129003008.00	|	28038582279971835904.00	|	539255863405172883456.00	|	0.43	|	0.57	|	0.37	|	1.69	|	198693695718262898688.00	|	
197		|	302484784182262890496.00	|	173988168733991337984.00	|	76992015803867512832.00	|	66153712422154805248.00	|	30842440507969024000.00	|	650461121650245632000.00	|	0.44	|	0.56	|	0.37	|	1.74	|	275685711522130427904.00	|	
198		|	368638496604417687552.00	|	204830609241960349696.00	|	91519469776608657408.00	|	79384454906585759744.00	|	33926684558765928448.00	|	778299715088338386944.00	|	0.45	|	0.55	|	0.36	|	1.80	|	367205181298739118080.00	|	
199		|	448022951511003430912.00	|	238757293800726265856.00	|	106176594898180833280.00	|	95261345887902908416.00	|	37319353014642524160.00	|	925537539112455897088.00	|	0.44	|	0.56	|	0.35	|	1.88	|	473381776196919951360.00	|	
200		|	543284297398906322944.00	|	276076646815368806400.00	|	120711743433778528256.00	|	114313615065483493376.00	|	41051288316106776576.00	|	1095437591029644001280.00	|	0.44	|	0.56	|	0.34	|	1.97	|	594093519630698545152.00	|	
201		|	657597912464389832704.00	|	317127935131475574784.00	|	134795179905177944064.00	|	137176338078580178944.00	|	45156417147717459968.00	|	1291853782727340851200.00	|	0.43	|	0.57	|	0.33	|	2.07	|	728888699535876423680.00	|	
202		|	794774250542970044416.00	|	362284352279193059328.00	|	148000687722407657472.00	|	164611605694296195072.00	|	49672058862489206784.00	|	1519342955101356032000.00	|	0.41	|	0.59	|	0.31	|	2.19	|	876889387258284081152.00	|	
203		|	959385856237266272256.00	|	411956411141682233344.00	|	159783219559788642304.00	|	197533926833155440640.00	|	54639264748738134016.00	|	1783298678520630738944.00	|	0.39	|	0.61	|	0.30	|	2.33	|	1036672606818072788992.00	|	
204		|	1156919783070421745664.00	|	466595675890420350976.00	|	169451772467021873152.00	|	237040712199786528768.00	|	60103191223611949056.00	|	2090111134851262316544.00	|	0.36	|	0.64	|	0.29	|	2.48	|	1206124379285094662144.00	|	
205		|	1393960495270208208896.00	|	526698867114032300032.00	|	176136502128315334656.00	|	284448854639743827968.00	|	66113510345973145600.00	|	2447358229498272677888.00	|	0.33	|	0.67	|	0.27	|	2.65	|	1382260881413410127872.00	|	
206		|	1678409349909952069632.00	|	592812377460005404672.00	|	178748890511742402560.00	|	341338625567692554240.00	|	72724861380570464256.00	|	2864034104829962878976.00	|	0.30	|	0.70	|	0.26	|	2.83	|	1561009771925152464896.00	|	
207		|	2019747975477644492800.00	|	665537238840575918080.00	|	175933540640717340672.00	|	409606350681231065088.00	|	79997347518627512320.00	|	3350822453158796591104.00	|	0.26	|	0.74	|	0.25	|	3.03	|	1736943312565869740032.00	|	
208		|	2429354326158875820032.00	|	745534586359203495936.00	|	166009883271236026368.00	|	491527620817477238784.00	|	87997082270490263552.00	|	3920423498877283336192.00	|	0.22	|	0.78	|	0.23	|	3.26	|	1902953195837105635328.00	|	
209		|	2920881946976352993280.00	|	833531668629693792256.00	|	146901733151181897728.00	|	589833144980972634112.00	|	96796790497539293184.00	|	4587945284235740315648.00	|	0.18	|	0.82	|	0.22	|	3.50	|	2049854928988287533056.00	|	
210		|	3510715091957325496320.00	|	930328459127233052672.00	|	116052215602772705280.00	|	707799773977167134720.00	|	106476469547293229056.00	|	5371372010211791339520.00	|	0.12	|	0.88	|	0.21	|	3.77	|	2165907144591060238336.00	|	
211		|	4218514865934492499968.00	|	1036804928674526265344.00	|	70321083399903117312.00	|	849359728772600561664.00	|	117124116502022553600.00	|	6292124723283545292800.00	|	0.07	|	0.93	|	0.20	|	4.07	|	2236228227990963355648.00	|	
212		|	5067874594707092799488.00	|	1153929045176548851712.00	|	5860842497203372032.00	|	1019231674527120621568.00	|	128836528152224825344.00	|	7375732685060190502912.00	|	0.01	|	0.99	|	0.19	|	4.39	|	2242089070488166858752.00	|	
213		|	5478395642310791528448.00	|	1218627294662334873600.00	|	0.00	|	1223078009432544641024.00	|	141720180967447314432.00	|	7979788510301899456512.00	|	0.00	|	1.06	|	0.19	|	4.75	|	2247949912985370099712.00	|	
214		|	6031326286569002762240.00	|	1292330101848292982784.00	|	0.00	|	1467693611319053516800.00	|	155892199064192057344.00	|	8684003864047077294080.00	|	0.00	|	1.19	|	0.19	|	4.93	|	2247949912985370099712.00	|	
215		|	6749117908099250782208.00	|	1375811185866860920832.00	|	0.00	|	1761232333582864220160.00	|	171481418970611286016.00	|	9573151394878596317184.00	|	0.00	|	1.33	|	0.18	|	5.18	|	2247949912985370099712.00	|	
216		|	7659315217513904603136.00	|	1469927974595598483456.00	|	0.00	|	2113478800299437064192.00	|	1976518564126587879424.00	|	10676535796946975064064.00	|	0.00	|	2.64	|	0.17	|	5.50	|	2247949912985370099712.00	|	
217		|	8795514616032007290880.00	|	3274124211786076913664.00	|	0.00	|	2536174560359324581888.00	|	2174170420539246772224.00	|	15516085366540271091712.00	|	0.00	|	1.37	|	0.29	|	2.84	|	2247949912985370099712.00	|	
218		|	11331689176391332397056.00	|	5448294632325323423744.00	|	13297697300961820672.00	|	3043409472431189393408.00	|	2391587462593171685376.00	|	22228278441041981341696.00	|	0.00	|	1.00	|	0.32	|	2.08	|	2261247610286331920384.00	|	
219		|	14375098648822521266176.00	|	7839882094918495109120.00	|	1557044519148578668544.00	|	3652091366917427167232.00	|	2630746208852489273344.00	|	30054862838659511484416.00	|	0.20	|	0.80	|	0.35	|	1.83	|	3818292129434910588928.00	|	
220		|	18027190015739947909120.00	|	10470628303770983858176.00	|	3194297833732333109248.00	|	4382509640300912181248.00	|	2893820829737738567680.00	|	38968446623281917722624.00	|	0.31	|	0.69	|	0.37	|	1.72	|	7012589963167243698176.00	|	
221		|	22409699656040861138944.00	|	13364449133508723474432.00	|	4922234652436117585920.00	|	5259011568361093988352.00	|	3183202912711512424448.00	|	49138597923058308087808.00	|	0.37	|	0.63	|	0.37	|	1.68	|	11934824615603360235520.00	|	
222		|	27668711224401956175872.00	|	16547652046220236423168.00	|	6735314960204259393536.00	|	6310813882033312366592.00	|	3501523203982664138752.00	|	60764015316842429022208.00	|	0.41	|	0.59	|	0.37	|	1.67	|	18670139575807619629056.00	|	
223		|	33979525106435268542464.00	|	20049175250202898989056.00	|	8624523067381994487808.00	|	7572976658439974420480.00	|	3851675524380930605056.00	|	74077875606841066520576.00	|	0.43	|	0.57	|	0.37	|	1.69	|	27294662643189614116864.00	|	
224		|	41552501764875245060096.00	|	23900850774583829069824.00	|	10576435707636835418112.00	|	9087571990127969304576.00	|	4236843076819023822848.00	|	89354203314042903199744.00	|	0.44	|	0.56	|	0.37	|	1.74	|	37871098350826445340672.00	|	
225		|	50640073755003210170368.00	|	28137693851402853416960.00	|	12572080078748364308480.00	|	10905086388153561907200.00	|	4660527384500926676992.00	|	106915461457808917004288.00	|	0.45	|	0.55	|	0.36	|	1.80	|	50443178429574805454848.00	|	
226		|	61545160143156769980416.00	|	32798221235903778521088.00	|	14585537447168483262464.00	|	13086103665784274288640.00	|	5126580122951019921408.00	|	127141602614964318633984.00	|	0.44	|	0.56	|	0.35	|	1.88	|	65028715876743284523008.00	|	
227		|	74631263808941040074752.00	|	37924801358854799491072.00	|	16582238824667545600000.00	|	15703324398941129146368.00	|	5639238135246122647552.00	|	150480866526650639056896.00	|	0.44	|	0.56	|	0.34	|	1.97	|	81610954701410830123008.00	|	
228		|	90334588207882177609728.00	|	43564039494100924235776.00	|	18516888266600836235264.00	|	18843989278729353297920.00	|	6203161948770735751168.00	|	177462667196084042858496.00	|	0.43	|	0.57	|	0.33	|	2.07	|	100127842968011674746880.00	|	
229		|	109178577486611522519040.00	|	49767201442871658938368.00	|	20330936164748625969152.00	|	22612787134475223957504.00	|	6823478143647810060288.00	|	208712980372354806841344.00	|	0.41	|	0.59	|	0.31	|	2.19	|	120458779132760292327424.00	|	
230		|	131791364621086746476544.00	|	56590679586519467950080.00	|	21949509067136609288192.00	|	27135344561370267910144.00	|	7505825958012591800320.00	|	244972723794125682376704.00	|	0.39	|	0.61	|	0.30	|	2.33	|	142408288199896897421312.00	|	
231		|	158926709182457018580992.00	|	64096505544532058701824.00	|	23277683517073886543872.00	|	32562413473644320653312.00	|	8256408553813851504640.00	|	287119720271521135984640.00	|	0.36	|	0.64	|	0.29	|	2.48	|	165685971716970792353792.00	|	
232		|	191489122656101351817216.00	|	72352914098345906012160.00	|	24195968520777480798208.00	|	39074896168373186461696.00	|	9082049409195237703680.00	|	336194950852793197395968.00	|	0.33	|	0.67	|	0.27	|	2.65	|	189881940237748281540608.00	|	
233		|	230564018824474538278912.00	|	81434963507541136375808.00	|	24554833755378550833152.00	|	46889875402047820398592.00	|	9990254350114763046912.00	|	393433945839556777476096.00	|	0.30	|	0.70	|	0.26	|	2.83	|	214436773993126840762368.00	|	
234		|	277453894226522341900288.00	|	91425217857655893131264.00	|	24168087590072267833344.00	|	56267850482457386156032.00	|	10989279785126241239040.00	|	460304329941834161717248.00	|	0.26	|	0.74	|	0.25	|	3.03	|	238604861583199108595712.00	|	
235		|	333721744708979719667712.00	|	102414497642782140661760.00	|	22804869300194413379584.00	|	67521420578948865064960.00	|	12088207763638866411520.00	|	538550739994544000991232.00	|	0.22	|	0.78	|	0.23	|	3.26	|	261409730883393538752512.00	|	
236		|	401243165287928559566848.00	|	114502705406421011267584.00	|	20179972171679622234112.00	|	81025704694738638077952.00	|	13297028540002755149824.00	|	630248576100770582102016.00	|	0.18	|	0.82	|	0.22	|	3.50	|	281589703055073160986624.00	|	
237		|	482268869982667180867584.00	|	127799733946423762223104.00	|	15942156918734368800768.00	|	97230845633686358982656.00	|	14626731394003032342528.00	|	737868337875514671759360.00	|	0.12	|	0.88	|	0.21	|	3.77	|	297531859973807529787392.00	|	
238		|	579499715616353539850240.00	|	142426465340426796662784.00	|	9660046046599839744000.00	|	116677014760423627423744.00	|	16089404533403337883648.00	|	864352646297207133175808.00	|	0.07	|	0.93	|	0.20	|	4.07	|	307191906020407335976960.00	|	
239		|	696176730376777116942336.00	|	158515869873830142935040.00	|	805107174578132615168.00	|	140012417712508339486720.00	|	17698344986743672930304.00	|	1013208470124437335703552.00	|	0.01	|	0.99	|	0.19	|	4.39	|	307997013194985468592128.00	|	
240		|	752570233280357021515776.00	|	167403504117545107980288.00	|	0.00	|	168014901255010007384064.00	|	19468179485418042949632.00	|	1096187952258476010373120.00	|	0.00	|	1.06	|	0.19	|	4.75	|	308802120369563601207296.00	|	
241		|	828526621081830359564288.00	|	177528099422815008063488.00	|	0.00	|	201617881506011995439104.00	|	21414997433959848083456.00	|	1192926404107608560500736.00	|	0.00	|	1.19	|	0.19	|	4.93	|	308802120369563601207296.00	|	
242		|	927130052329058139635712.00	|	188995942013936102014976.00	|	0.00	|	241941457807214381105152.00	|	23556497177355835408384.00	|	1315069091199769122963456.00	|	0.00	|	1.33	|	0.18	|	5.18	|	308802120369563601207296.00	|	
243		|	1052164359122645208268800.00	|	201924817231727309094912.00	|	0.00	|	290329749368657250615296.00	|	271515446127357232939008.00	|	1466641615545664412844032.00	|	0.00	|	2.64	|	0.17	|	5.50	|	308802120369563601207296.00	|	
244		|	1208244697642172122398720.00	|	449768250191130264600576.00	|	0.00	|	348395699242388714160128.00	|	298666990740092993142784.00	|	2131453211192386861924352.00	|	0.00	|	1.37	|	0.29	|	2.84	|	308802120369563601207296.00	|	
245		|	1556640396884560836558848.00	|	748435240931223190634496.00	|	1826712026254474739712.00	|	418074839090866430148608.00	|	328533689814102285746176.00	|	3053510878747007217827840.00	|	0.00	|	1.00	|	0.32	|	2.08	|	310628832395818075947008.00	|	
246		|	1974715235975427132489728.00	|	1076968930745325476380672.00	|	213892065040773165350912.00	|	501689806909039689334784.00	|	361387058795512554586112.00	|	4128653097466078085251072.00	|	0.20	|	0.80	|	0.35	|	1.83	|	524520897436591241297920.00	|	
247		|	2476405042884466687606784.00	|	1438355989540837963857920.00	|	438802456574926493057024.00	|	602027768290847613779968.00	|	397525764675063857020928.00	|	5353117021966142615322624.00	|	0.31	|	0.69	|	0.37	|	1.72	|	963323354011517734354944.00	|	
248		|	3078432811175314368495616.00	|	1835881754215901753769984.00	|	676170091124314448330752.00	|	722433321949017109692416.00	|	437278341142570262855680.00	|	6750196319607118412906496.00	|	0.37	|	0.63	|	0.37	|	1.68	|	1639493445135832182685696.00	|	
249		|	3800866133124331478188032.00	|	2273160095358471949516800.00	|	925233933762824148877312.00	|	866919986338820477943808.00	|	481006175256827322695680.00	|	8347186323841275377221632.00	|	0.41	|	0.59	|	0.37	|	1.67	|	2564727378898656331563008.00	|	
250		|	4667786119463151687696384.00	|	2754166270615299003777024.00	|	1184755494226204267905024.00	|	1040303983606584546689024.00	|	529106792782510122074112.00	|	10176118660693749695250432.00	|	0.43	|	0.57	|	0.37	|	1.69	|	3749482873124860867903488.00	|	
251		|	5708090103069736368603136.00	|	3283273063397809327177728.00	|	1452890811009146569097216.00	|	1248364780327901509713920.00	|	582017472060761181257728.00	|	12274636229865353949216768.00	|	0.44	|	0.56	|	0.37	|	1.74	|	5202373684134007437000704.00	|	
252		|	6956454883397637341446144.00	|	3865290535458570575544320.00	|	1727033579798251444371456.00	|	1498037736393481811656704.00	|	640219219266837319516160.00	|	14687035954314779566276608.00	|	0.45	|	0.55	|	0.36	|	1.80	|	6929407263932258881372160.00	|	
253		|	8454492619791119153102848.00	|	4505509754725407895060480.00	|	2003623329859708615917568.00	|	1797645283672178227675136.00	|	704241141193521051467776.00	|	17465512129241936016965632.00	|	0.44	|	0.56	|	0.35	|	1.88	|	8933030593791967497289728.00	|	
254		|	10252137903463297112342528.00	|	5209750895918929214963712.00	|	2277911300199441997234176.00	|	2157174340406613819523072.00	|	774665255312873263988736.00	|	20671639695301153394786304.00	|	0.44	|	0.56	|	0.34	|	1.97	|	11210941893991408957652992.00	|	
255		|	12409312243869910663430144.00	|	5984416151231802344734720.00	|	2543675161899705103810560.00	|	2588609208487936476053504.00	|	852131780844160630652928.00	|	24378144546333515352899584.00	|	0.43	|	0.57	|	0.33	|	2.07	|	13754617055891114598334464.00	|	
256		|	14997921452357848213225472.00	|	6836547932075962572734464.00	|	2792871922961862335922176.00	|	3106331050185523556515840.00	|	937344958928576814514176.00	|	28671017316509775506178048.00	|	0.41	|	0.59	|	0.31	|	2.19	|	16547488978852976934256640.00	|	
257		|	18104252502543370695999488.00	|	7773892891004539253030912.00	|	3015216175960476314763264.00	|	3727597260222628267819008.00	|	1031079454821434536230912.00	|	33652038284552447054577664.00	|	0.39	|	0.61	|	0.30	|	2.33	|	19562705154813454859632640.00	|	
258		|	21831849762765996816334848.00	|	8804972345825973386608640.00	|	3197668233255241488793600.00	|	4473116712267153491886080.00	|	1134187400303578137493504.00	|	39441794454417945737035776.00	|	0.36	|	0.64	|	0.29	|	2.48	|	22760373388068696348426240.00	|	
259		|	26304966475033148160737280.00	|	9939159746129551792537600.00	|	3323813551075031892623360.00	|	5367740054720584190263296.00	|	1247606140333935978086400.00	|	46183285967292251745812480.00	|	0.33	|	0.67	|	0.27	|	2.65	|	26084186939143729314791424.00	|	
260		|	31672706529753732351000576.00	|	11186765886463488575930368.00	|	3373111066431458159624192.00	|	6441288065664701243064320.00	|	1372366754367329710112768.00	|	54046238302680709502861312.00	|	0.30	|	0.70	|	0.26	|	2.83	|	29457298005575187474415616.00	|	
261		|	38113994595418432520323072.00	|	12559132640830818822914048.00	|	3319983532229115133296640.00	|	7729545678797641491677184.00	|	1509603429804062734811136.00	|	63232259877080070166151168.00	|	0.26	|	0.74	|	0.25	|	3.03	|	32777281537804304755195904.00	|	
262		|	45843540274216076159483904.00	|	14068736070634881020854272.00	|	3132717483293241524617216.00	|	9275454814557169575264256.00	|	1660563772784469115666432.00	|	73981012415485838201192448.00	|	0.22	|	0.78	|	0.23	|	3.26	|	35909999021097546279813120.00	|	
263		|	55118995088773246808489984.00	|	15729299843419349868085248.00	|	2772133915887831934304256.00	|	11130545777468602631323648.00	|	1826620150062916107763712.00	|	86577594775611955134595072.00	|	0.18	|	0.82	|	0.22	|	3.50	|	38682132936985378214117376.00	|	
264		|	66249540866241851587297280.00	|	17555919993482265170542592.00	|	2189982895450734106509312.00	|	13356654932962322728091648.00	|	2009282165069207799070720.00	|	101361380853206386223349760.00	|	0.12	|	0.88	|	0.21	|	3.77	|	40872115832436114468110336.00	|	
265		|	79606195799204172167905280.00	|	19565202158551473506484224.00	|	1327005857420557277986816.00	|	16027985919554786844213248.00	|	2210210381576128847413248.00	|	118736600116307127770808320.00	|	0.07	|	0.93	|	0.20	|	4.07	|	42199121689856673893580800.00	|	
266		|	95634181718758956864634880.00	|	21775412540127602890768384.00	|	110598016928116784496640.00	|	19233583103465743783559168.00	|	2431231419733741785841664.00	|	139185006799014162646171648.00	|	0.01	|	0.99	|	0.19	|	4.39	|	42309719706784794973044736.00	|	
267		|	103380988340002237240573952.00	|	22996311761868274194710528.00	|	0.00	|	23080299724158889963290624.00	|	2674354561707116125487104.00	|	150583944061731858796249088.00	|	0.00	|	1.06	|	0.19	|	4.75	|	42420317723712916052508672.00	|	
268		|	113815159257745021355425792.00	|	24387133007396618280894464.00	|	0.00	|	27696359668990668814942208.00	|	2941790017877828167532544.00	|	163872958588717041767677952.00	|	0.00	|	1.19	|	0.19	|	4.93	|	42420317723712916052508672.00	|	
269		|	127360367034062127595782144.00	|	25962476874010719804194816.00	|	0.00	|	33235631602788800000950272.00	|	3235969019665611145347072.00	|	180651766933347275057922048.00	|	0.00	|	1.33	|	0.18	|	5.18	|	42420317723712916052508672.00	|	
270		|	144536398773165826676621312.00	|	27738523598992512630390784.00	|	0.00	|	39882757923346558283153408.00	|	37298226702210109634772992.00	|	201473368265834645560492032.00	|	0.00	|	2.64	|	0.17	|	5.50	|	42420317723712916052508672.00	|	
271		|	165977241026861137873862656.00	|	61784912786142492440395776.00	|	0.00	|	47859309508015871657771008.00	|	41028049372431121886740480.00	|	292798904114206278349225984.00	|	0.00	|	1.37	|	0.29	|	2.84	|	42420317723712916052508672.00	|	
